time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
54.8188,0,0,0,738,62
54.8391,0,0,0,739,61
55.1843,0,0,0,738,62
55.2429,0,0,0,737,63
55.274,0,0,0,738,62
55.4352,0,0,0,739,61
55.609,0,0,0,738,62
55.7181,0,0,0,737,63
55.892,0,0,0,738,62
55.9693,0,0,0,737,63
55.9786,0,0,0,736,64
56.0111,0,0,0,737,63
56.0737,0,0,0,736,64
56.1526,0,0,0,735,65
56.8031,0,0,0,734,66
56.9499,0,0,0,735,65
57.0187,0,0,0,734,66
57.1212,0,0,0,733,67
57.2264,0,0,0,732,68
57.3074,0,0,0,733,67
57.4961,0,0,0,734,66
57.5917,0,0,0,735,65
57.615,0,0,0,734,66
57.7159,0,0,0,733,67
57.9119,0,0,0,732,68
58.3749,0,0,0,731,69
58.7246,0,0,0,732,68
58.7478,0,0,0,731,69
58.8301,0,0,0,732,68
58.8552,0,0,0,733,67
58.8744,0,0,0,734,66
59.0338,0,0,0,733,67
59.5117,0,0,0,734,66
59.7964,0,0,0,733,67
59.8624,0,0,0,732,68
59.8852,0,0,0,733,67
60.0813,0,0,0,734,66
60.1372,0,0,0,733,67
60.1416,0,0,0,732,68
60.2961,0,0,0,731,69
60.359,0,0,0,732,68
60.4642,0,0,0,733,67
60.4732,0,0,0,734,66
60.7223,0,0,0,735,65
60.7825,0,0,0,736,64
61.0254,0,0,0,737,63
61.0898,0,0,0,736,64
61.1345,0,0,0,737,63
61.2708,0,0,0,738,62
61.41,0,0,0,739,61
61.4168,0,0,0,738,62
61.5629,0,0,0,737,63
61.6183,0,0,0,738,62
61.6408,0,0,0,737,63
62.1069,0,0,0,736,64
62.1799,0,0,0,735,65
62.5746,0,0,0,734,66
62.6473,0,0,0,735,65
62.7122,0,0,0,734,66
62.7775,0,0,0,733,67
62.8248,0,0,0,734,66
62.9613,0,0,0,735,65
63.0376,0,0,0,734,66
63.2997,0,0,0,735,65
63.5323,0,0,0,734,66
63.6373,0,0,0,735,65
63.6951,0,0,0,734,66
63.7215,0,0,0,735,65
63.9748,0,0,0,734,66
64.2615,0,0,0,735,65
64.3237,0,0,0,736,64
64.8809,0,0,0,735,65
64.9657,0,0,0,736,64
64.9714,0,0,0,737,63
65.3193,0,0,0,736,64
65.3739,0,0,0,737,63
65.4394,0,0,0,736,64
65.5525,0,0,0,735,65
65.8496,0,0,0,736,64
65.8802,0,0,0,735,65
65.9129,0,0,0,736,64
66.0738,0,0,0,735,65
66.0748,0,0,0,736,64
66.3841,0,0,0,735,65
66.3967,0,0,0,736,64
66.3993,0,0,0,737,63
66.9303,0,0,0,736,64
67.1803,0,0,0,735,65
67.3932,0,0,0,734,66
67.4456,0,0,0,735,65
67.5601,0,0,0,736,64
67.7108,0,0,0,737,63
67.8019,0,0,0,736,64
67.8349,0,0,0,737,63
67.9463,0,0,0,736,64
68.0822,0,0,0,735,65
68.0947,0,0,0,734,66
68.1901,0,0,0,735,65
68.3475,0,0,0,734,66
68.6672,0,0,0,733,67
69.1001,0,0,0,734,66
69.1085,0,0,0,733,67
69.1086,0,0,0,734,66
69.2972,0,0,0,735,65
69.5204,0,0,0,734,66
69.6203,0,0,0,733,67
