time_s,event,job_id,class,replica,slot,policy,action,source_pool,target_pool,reason,pool_sizes,active_total_after,active_by_class_after
156.990757,finish,w0!w000466__enterprise,enterprise,2,258,round_robin,,,,,,"{""0"": 10, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 10, ""5"": 10, ""6"": 8, ""7"": 10}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 3}, ""1"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 2}, ""2"": {""freemium"": 3, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 2, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 1, ""enterprise"": 4, ""freemium"": 5}}"
157.174111,start,w0!w000529__premium,premium,1,166,round_robin,,,,,,"{""0"": 10, ""1"": 9, ""2"": 8, ""3"": 8, ""4"": 10, ""5"": 10, ""6"": 8, ""7"": 10}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 3}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 3, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 2, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 1, ""enterprise"": 4, ""freemium"": 5}}"
157.251119,finish,w0!w000432__enterprise,enterprise,0,54,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 8, ""3"": 8, ""4"": 10, ""5"": 10, ""6"": 8, ""7"": 10}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 3, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 2, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 1, ""enterprise"": 4, ""freemium"": 5}}"
157.413491,start,w0!w000530__freemium,freemium,2,266,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 8, ""4"": 10, ""5"": 10, ""6"": 8, ""7"": 10}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 2, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 1, ""enterprise"": 4, ""freemium"": 5}}"
157.518424,finish,w0!w000455__premium,premium,7,756,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 8, ""4"": 10, ""5"": 10, ""6"": 8, ""7"": 9}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 2, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 0, ""enterprise"": 4, ""freemium"": 5}}"
157.566342,finish,w0!w000484__enterprise,enterprise,4,460,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 8, ""4"": 9, ""5"": 10, ""6"": 8, ""7"": 9}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 2, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 4, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 0, ""enterprise"": 4, ""freemium"": 5}}"
157.969268,start,w0!w000531__enterprise,enterprise,3,366,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 9, ""5"": 10, ""6"": 8, ""7"": 9}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 4, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 0, ""enterprise"": 4, ""freemium"": 5}}"
158.050554,start,w0!w000532__enterprise,enterprise,4,466,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 10, ""5"": 10, ""6"": 8, ""7"": 9}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 0, ""enterprise"": 4, ""freemium"": 5}}"
158.218976,finish,w0!w000439__enterprise,enterprise,7,754,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 10, ""5"": 10, ""6"": 8, ""7"": 8}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 0, ""enterprise"": 3, ""freemium"": 5}}"
158.386539,start,w0!w000533__premium,premium,5,566,round_robin,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 9, ""4"": 10, ""5"": 11, ""6"": 8, ""7"": 8}","{""0"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""1"": {""freemium"": 6, ""premium"": 1, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 1, ""enterprise"": 4}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 3}, ""4"": {""enterprise"": 5, ""premium"": 4, ""freemium"": 1}, ""5"": {""freemium"": 3, ""premium"": 6, ""enterprise"": 2}, ""6"": {""freemium"": 5, ""premium"": 0, ""enterprise"": 3}, ""7"": {""premium"": 0, ""enterprise"": 3, ""freemium"": 5}}"
