time_s,event,job_id,class,replica,slot,policy,action,source_pool,target_pool,reason,pool_sizes,active_total_after,active_by_class_after
124.418681,finish,w0!w000374__enterprise,enterprise,2,247,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 7, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
124.716735,finish,w0!w000351__freemium,freemium,5,541,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 7, ""3"": 7, ""4"": 8, ""5"": 6, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 4, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
124.820656,start,w0!w000418__premium,premium,5,549,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 7, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
125.038274,start,w0!w000419__freemium,freemium,2,255,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 5, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
125.044874,finish,w0!w000358__freemium,freemium,1,147,least_loaded,,,,,,"{""0"": 9, ""1"": 7, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 5, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
125.28932,finish,w0!w000364__premium,premium,0,46,least_loaded,,,,,,"{""0"": 8, ""1"": 7, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 6, ""enterprise"": 1}, ""1"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 5, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
125.322769,finish,w0!w000375__premium,premium,0,47,least_loaded,,,,,,"{""0"": 7, ""1"": 7, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 5, ""enterprise"": 1}, ""1"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 5, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
125.656765,start,w0!w000420__premium,premium,0,53,least_loaded,,,,,,"{""0"": 8, ""1"": 7, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 6, ""enterprise"": 1}, ""1"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 5, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
125.861811,finish,w0!w000365__enterprise,enterprise,1,148,least_loaded,,,,,,"{""0"": 8, ""1"": 6, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 6, ""enterprise"": 1}, ""1"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 1}, ""2"": {""freemium"": 5, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 5, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
125.864439,finish,w0!w000371__premium,premium,5,543,least_loaded,,,,,,"{""0"": 8, ""1"": 6, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 6, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 6, ""enterprise"": 1}, ""1"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 1}, ""2"": {""freemium"": 5, ""premium"": 2, ""enterprise"": 1}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 0, ""premium"": 4, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
