time_s,enterprise,event,freemium,mixed,premium
72.635487,3,start,3,0,2
72.713098,3,start,3,0,2
72.770647,3,finish,3,0,2
73.04563,3,start,3,0,2
73.150374,3,finish,3,0,2
73.181071,3,start,3,0,2
73.23713,3,finish,3,0,2
73.444871,3,finish,3,0,2
73.51915,3,start,2,0,3
73.689333,3,start,2,0,3
73.863159,3,start,2,0,3
73.871861,3,start,2,0,3
73.90892,3,finish,2,0,3
73.978823,3,finish,2,0,3
74.221341,3,finish,2,0,3
74.414201,3,finish,2,0,3
74.487225,3,finish,2,0,3
74.984395,3,start,2,0,3
75.170426,3,start,2,0,3
75.175389,3,finish,2,0,3
75.382086,3,start,2,0,3
75.416258,3,finish,2,0,3
75.485091,3,finish,2,0,3
75.530378,3,finish,2,0,3
75.626313,3,start,2,0,3
76.00087,3,start,2,0,3
76.064158,3,start,2,0,3
76.07766,3,finish,2,0,3
76.140011,3,finish,2,0,3
76.177503,3,start,2,0,3
76.415196,3,finish,2,0,3
76.518525,3,start,1,0,4
76.669362,3,start,1,0,4
76.720311,3,start,1,0,4
76.880863,3,finish,1,0,4
77.041871,3,finish,1,0,4
77.053996,3,finish,1,0,4
77.163063,3,start,1,0,4
77.200482,3,start,1,0,4
77.203649,3,finish,1,0,4
78.165559,3,finish,1,0,4
78.332676,3,finish,1,0,4
78.664126,3,start,1,0,4
78.94522,3,finish,1,0,4
78.977465,3,finish,1,0,4
79.004069,3,start,1,0,4
79.415416,3,finish,1,0,4
79.483243,3,start,1,0,4
79.533813,3,start,1,0,4
79.59842,3,start,1,0,4
79.689828,3,finish,1,0,4
79.692838,3,finish,1,0,4
79.845419,3,start,1,0,4
80.268097,3,start,1,0,4
80.277026,3,start,1,0,4
80.29273,3,finish,1,0,4
80.320938,3,finish,1,0,4
80.331338,3,finish,1,0,4
80.337275,3,start,1,0,4
80.345583,3,start,1,0,4
80.48335,3,finish,1,0,4
80.706239,3,start,1,0,4
80.709267,3,finish,1,0,4
81.096346,3,start,1,0,4
81.129944,3,start,1,0,4
81.291348,3,start,1,0,4
81.519141,3,finish,1,0,4
81.704345,3,start,1,0,4
82.111631,3,finish,1,0,4
82.206902,3,finish,1,0,4
82.387087,3,start,1,0,4
82.455082,3,finish,1,0,4
82.521827,3,start,1,0,4
82.60117,3,start,1,0,4
82.846036,3,finish,1,0,4
83.022516,3,start,1,0,4
83.060198,3,start,1,0,4
83.147447,3,start,1,0,4
83.291281,3,start,1,0,4
83.336405,2,start,2,0,4
83.681928,2,start,2,0,4
83.788878,2,finish,2,0,4
83.930024,2,finish,2,0,4
84.043946,2,finish,2,0,4
84.053524,2,finish,2,0,4
84.347927,2,start,2,0,4
84.359222,2,finish,2,0,4
84.384534,2,start,2,0,4
84.863444,2,start,2,0,4
84.888657,2,start,1,0,5
85.14595,2,finish,1,0,5
85.264797,2,finish,1,0,5
85.312691,2,finish,1,0,5
85.560111,2,start,1,0,5
85.795964,2,finish,1,0,5
85.87609,2,start,2,0,4
86.054427,2,finish,2,0,4
86.100053,2,finish,2,0,4
86.311087,2,finish,2,0,4
86.331317,2,start,3,0,3
86.520451,2,finish,3,0,3
86.868942,2,start,3,0,3
86.897662,2,finish,3,0,3
87.007425,2,finish,3,0,3
87.026843,2,finish,3,0,3
87.122168,2,finish,3,0,3
87.187521,2,finish,3,0,3
87.437025,2,start,3,0,3
87.548477,2,finish,3,0,3
87.695934,2,finish,3,0,3
87.760326,2,start,3,0,3
88.096482,2,start,3,0,3
88.139988,2,start,3,0,3
88.311989,2,start,3,0,3
88.464526,2,finish,3,0,3
88.509209,2,start,3,0,3
88.592404,2,start,3,0,3
88.742598,2,finish,3,0,3
88.940218,2,finish,3,0,3
89.194694,2,finish,3,0,3
89.226121,2,finish,3,0,3
89.269114,2,start,3,0,3
89.301062,2,finish,3,0,3
89.821413,2,start,3,0,3
89.884373,2,finish,3,0,3
89.907261,2,start,3,0,3
90.034683,2,start,3,0,3
90.050148,2,start,3,0,3
90.121298,2,finish,3,0,3
90.21087,2,start,3,0,3
90.230545,2,finish,3,0,3
90.432629,2,finish,3,0,3
90.795711,2,finish,3,0,3
90.812765,2,start,3,0,3
91.137316,2,finish,3,0,3
91.142589,2,start,3,0,3
91.297264,2,finish,3,0,3
91.6289,2,finish,3,0,3
92.187713,2,start,3,0,3
92.566257,2,finish,3,0,3
92.590172,2,finish,3,0,3
92.651899,2,start,3,0,3
92.921412,2,start,3,0,3
93.044831,2,start,3,0,3
93.177069,3,start,3,0,2
93.490696,3,finish,3,0,2
93.660927,3,start,3,0,2
93.866902,3,finish,3,0,2
94.007913,3,finish,3,0,2
94.061155,3,start,3,0,2
94.232103,3,start,3,0,2
94.312363,3,finish,3,0,2
94.402785,3,finish,3,0,2
94.476489,3,finish,3,0,2
94.82801,3,start,3,0,2
94.910887,3,finish,3,0,2
95.377823,3,finish,3,0,2
95.416379,3,start,3,0,2
95.433397,3,finish,3,0,2
95.760944,3,start,3,0,2
95.914198,4,start,2,0,2
96.03247,4,finish,2,0,2
96.07392,4,finish,2,0,2
96.154801,4,start,2,0,2
96.212217,4,start,2,0,2
96.434551,4,finish,2,0,2
96.447457,4,start,2,0,2
96.463469,4,start,2,0,2
96.627617,4,finish,2,0,2
96.695722,4,finish,2,0,2
96.712311,4,finish,2,0,2
96.762082,4,finish,2,0,2
96.976423,4,start,2,0,2
97.160516,4,finish,2,0,2
97.271481,4,finish,2,0,2
97.293926,4,finish,2,0,2
97.350426,4,finish,2,0,2
97.412496,4,finish,2,0,2
97.721208,4,start,2,0,2
98.261822,4,finish,2,0,2
98.342361,4,start,2,0,2
98.66104,4,finish,2,0,2
98.762402,4,start,2,0,2
99.084094,4,start,2,0,2
99.153133,4,start,3,0,1
99.368009,4,finish,3,0,1
99.464037,4,start,3,0,1
99.506923,4,finish,3,0,1
99.583293,4,finish,3,0,1
99.70105,4,start,3,0,1
99.823592,4,finish,3,0,1
99.975806,4,finish,3,0,1
100.172715,4,finish,3,0,1
100.418358,4,finish,3,0,1
100.459176,4,finish,3,0,1
100.522779,4,finish,3,0,1
100.737683,4,start,3,0,1
100.773826,4,start,3,0,1
100.844318,4,start,2,0,2
100.900786,4,start,2,0,2
100.908106,4,finish,2,0,2
101.247061,4,finish,2,0,2
101.361926,4,finish,2,0,2
101.474072,4,finish,2,0,2
101.835386,4,finish,2,0,2
101.973558,4,finish,2,0,2
102.248415,4,finish,2,0,2
102.251857,4,start,2,0,2
102.34049,4,start,2,0,2
102.454741,4,start,2,0,2
102.487672,4,start,2,0,2
102.813293,4,start,2,0,2
103.040882,4,finish,2,0,2
103.065914,4,finish,2,0,2
103.075639,4,start,2,0,2
103.128361,4,finish,2,0,2
103.273388,4,finish,2,0,2
103.302751,4,start,2,0,2
103.311231,4,start,2,0,2
103.756105,4,finish,2,0,2
103.97488,4,start,2,0,2
104.126314,4,finish,2,0,2
104.186985,4,finish,2,0,2
104.242694,4,finish,2,0,2
104.269934,4,start,2,0,2
104.325408,4,finish,2,0,2
104.348294,4,start,2,0,2
104.374208,4,start,2,0,2
104.615714,4,start,2,0,2
104.618133,3,start,2,0,3
