time_s,event,job_id,class,replica,slot,policy,action,source_pool,target_pool,reason,pool_sizes,active_total_after,active_by_class_after
159.518607,start,w0!w000538__enterprise,enterprise,3,365,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 9}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 5, ""freemium"": 4}}"
159.5522,finish,w0!w000444__enterprise,enterprise,6,647,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 8, ""7"": 9}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 8, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 5, ""freemium"": 4}}"
159.608497,finish,w0!w000449__enterprise,enterprise,6,650,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 7, ""7"": 9}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 7, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 5, ""freemium"": 4}}"
159.646471,finish,w0!w000456__enterprise,enterprise,0,57,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 7, ""7"": 9}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 7, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 5, ""freemium"": 4}}"
160.360871,finish,w0!w000485__enterprise,enterprise,2,266,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 9, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 7, ""7"": 9}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 3}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 7, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 5, ""freemium"": 4}}"
160.40118,start,w0!w000539__premium,premium,7,765,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 9, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 7, ""7"": 10}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 3}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 7, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 6, ""freemium"": 4}}"
160.469491,start,w0!w000540__enterprise,enterprise,6,660,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 9, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 8, ""7"": 10}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 3}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 8, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 6, ""freemium"": 4}}"
160.535971,start,w0!w000541__enterprise,enterprise,6,661,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 9, ""3"": 10, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 10}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 3}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 6, ""freemium"": 4}}"
160.627149,finish,w0!w000462__enterprise,enterprise,3,356,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 9, ""3"": 9, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 10}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 3}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 6, ""freemium"": 4}}"
160.728256,start,w0!w000542__freemium,freemium,4,467,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 9, ""3"": 9, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 10}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 3}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 7, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 6, ""freemium"": 4}}"
160.824228,start,w0!w000543__enterprise,enterprise,3,366,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 10, ""2"": 9, ""3"": 10, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 10}","{""0"": {""enterprise"": 1, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 3}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 7, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 6, ""freemium"": 4}}"
